index,Setor,Subsetor,Atividade
GRND,Consumo Cíclico , Tecidos. Vestuário e Calçados , Calçados
CNTO,Consumo Cíclico , Comércio , Produtos Diversos
GUAR,Consumo Cíclico , Comércio , Tecidos. Vestuário e Calçados
HAGA,Bens Industriais , Construção e Engenharia , Produtos para Construção
HAPV,Saúde , Serv.Méd.Hospit..Análises e Diagnósticos , Serv.Méd.Hospit..Análises e Diagnósticos
HBOR,Consumo Cíclico , Construção Civil , Incorporações
HETA,Consumo Cíclico , Utilidades Domésticas , Utensílios Domésticos
HOOT,Consumo Cíclico , Hoteis e Restaurantes , Hotelaria
HYPE,Saúde , Comércio e Distribuição , Medicamentos e Outros Produtos
IDNT,Financeiro , Serviços Financeiros Diversos , Serviços Financeiros Diversos
IGBR,Financeiro , Exploração de Imóveis , Exploração de Imóveis
IGSN,Utilidade Pública , água e Saneamento , água e Saneamento
IGTA,Financeiro , Exploração de Imóveis , Exploração de Imóveis
JBDU,Outros , Outros , Outros
ROMI,Bens Industriais , Máquinas e Equipamentos , Máq. e Equip. Industriais
INEP,Bens Industriais , Máquinas e Equipamentos , Máq. e Equip. Industriais
SLCT,Outros , Outros , Outros
PARD,Saúde , Serv.Méd.Hospit..Análises e Diagnósticos , Serv.Méd.Hospit..Análises e Diagnósticos
INNT,Consumo Cíclico , Construção Civil , Incorporações
MEAL,Consumo Cíclico , Hoteis e Restaurantes , Restaurante e Similares
FIGE,Outros , Outros , Outros
IVPR,Bens Industriais , Transporte , Serviços de Apoio e Armazenagem
MYPK,Consumo Cíclico , Automóveis e Motocicletas , Automóveis e Motocicletas
IRBR,Financeiro , Previdência e Seguros , Seguradoras
ITUB,Financeiro , Intermediários Financeiros , Bancos
ITSA,Financeiro , Intermediários Financeiros , Bancos
JBSS,Consumo não Cíclico , Alimentos Processados , Carnes e Derivados
JPSA,Financeiro , Exploração de Imóveis , Exploração de Imóveis
JHSF,Consumo Cíclico , Construção Civil , Incorporações
JFEN,Consumo Cíclico , Construção Civil , Incorporações
JOPA,Consumo não Cíclico , Alimentos Processados , Alimentos Diversos
JSLG,Bens Industriais , Transporte , Transporte Rodoviário
CTKA,Consumo Cíclico , Tecidos. Vestuário e Calçados , Fios e Tecidos
KEPL,Bens Industriais , Máquinas e Equipamentos , Máq. e Equip. Industriais
KLBN,Materiais Básicos , Madeira e Papel , Papel e Celulose
KROT,Consumo Cíclico , Diversos , Serviços Educacionais
LIGT,Utilidade Pública , Energia Elétrica , Energia Elétrica
LINX,Tecnologia da Informação , Programas e Serviços , Programas e Serviços
LIQO,Bens Industriais , Serviços , Serviços Diversos
LTEL,Materiais Básicos , Mineração , Minerais Metálicos
RENT,Consumo Cíclico , Diversos , Aluguel de carros
LOGG,Financeiro , Exploração de Imóveis , Exploração de Imóveis
LOGN,Bens Industriais , Transporte , Transporte Hidroviário
LAME,Consumo Cíclico , Comércio , Produtos Diversos
LREN,Consumo Cíclico , Comércio , Tecidos. Vestuário e Calçados
SPRT,Outros , Outros , Outros
LPSB,Financeiro , Exploração de Imóveis , Intermediação Imobiliária
LUPA,Petróleo. Gás e Biocombustíveis , Petróleo. Gás e Biocombustíveis , Equipamentos e Serviços
MDIA,Consumo não Cíclico , Alimentos Processados , Alimentos Diversos
MSRO,Consumo Cíclico , Diversos , Aluguel de carros
MGLU,Consumo Cíclico , Comércio , Eletrodomésticos
LEVE,Consumo Cíclico , Automóveis e Motocicletas , Automóveis e Motocicletas
MGEL,Materiais Básicos , Siderurgia e Metalurgia , Artefatos de Ferro e Aço
ESTR,Consumo Cíclico , Viagens e Lazer , Brinquedos e Jogos
POMO,Bens Industriais , Material de Transporte , Material Rodoviário
MRFG,Consumo não Cíclico , Alimentos Processados , Carnes e Derivados
AMAR,Consumo Cíclico , Comércio , Tecidos. Vestuário e Calçados
MEND,Bens Industriais , Construção e Engenharia , Construção Pesada
MERC,Financeiro , Intermediários Financeiros , Soc. Crédito e Financiamento
FRIO,Bens Industriais , Máquinas e Equipamentos , Máq. e Equip. Industriais
MTIG,Materiais Básicos , Embalagens , Embalagens
GOAU,Materiais Básicos , Siderurgia e Metalurgia , Siderurgia
RSUL,Bens Industriais , Material de Transporte , Material Rodoviário
MTSA,Bens Industriais , Máquinas e Equipamentos , Máq. e Equip. Construção e Agrícolas
MILS,Bens Industriais , Construção e Engenharia , Serviços Diversos
MMAQ,Bens Industriais , Comércio , Material de Transporte
BEEF,Consumo não Cíclico , Alimentos Processados , Carnes e Derivados
MNPR,Consumo não Cíclico , Alimentos Processados , Carnes e Derivados
MMXM,Materiais Básicos , Mineração , Minerais Metálicos
MOAR,Financeiro , Holdings Diversificadas , Holdings Diversificadas
MOVI,Consumo Cíclico , Diversos , Aluguel de carros
MRSA,Bens Industriais , Transporte , Transporte Ferroviário
MRVE,Consumo Cíclico , Construção Civil , Incorporações
MULT,Financeiro , Exploração de Imóveis , Exploração de Imóveis
MNDL,Consumo Cíclico , Tecidos. Vestuário e Calçados , Acessórios
NAFG,Consumo Cíclico , Utilidades Domésticas , Utensílios Domésticos
NATU,Consumo não Cíclico , Produtos de Uso Pessoal e de Limpeza , Produtos de Uso Pessoal
NEOE,Utilidade Pública , Energia Elétrica , Energia Elétrica
NORD,Bens Industriais , Máquinas e Equipamentos , Máq. e Equip. Industriais
NRTQ,Saúde , Medicamentos e Outros Produtos , Medicamentos e Outros Produtos
GNDI,Saúde , Serv.Méd.Hospit..Análises e Diagnósticos , Serv.Méd.Hospit..Análises e Diagnósticos
NUTR,Materiais Básicos , Químicos , Fertilizantes e Defensivos
ODPV,Saúde , Serv.Méd.Hospit..Análises e Diagnósticos , Serv.Méd.Hospit..Análises e Diagnósticos
OIBR,Telecomunicações , Telecomunicações , Telecomunicações
OMGE,Utilidade Pública , Energia Elétrica , Energia Elétrica
OPHE,Outros , Outros , Outros
OSXB,Petróleo. Gás e Biocombustíveis , Petróleo. Gás e Biocombustíveis , Equipamentos e Serviços
OFSA,Saúde , Medicamentos e Outros Produtos , Medicamentos e Outros Produtos
PATI,Materiais Básicos , Siderurgia e Metalurgia , Artefatos de Ferro e Aço
PMAM,Materiais Básicos , Siderurgia e Metalurgia , Artefatos de Cobre
PTBL,Bens Industriais , Construção e Engenharia , Produtos para Construção
PDGS,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
PDGR,Consumo Cíclico , Construção Civil , Incorporações
PRIO,Petróleo. Gás e Biocombustíveis , Petróleo. Gás e Biocombustíveis , Exploração. Refino e Distribuição
BRDT,Petróleo. Gás e Biocombustíveis , Petróleo. Gás e Biocombustíveis , Exploração. Refino e Distribuição
PETR,Petróleo. Gás e Biocombustíveis , Petróleo. Gás e Biocombustíveis , Exploração. Refino e Distribuição
PTNT,Consumo Cíclico , Tecidos. Vestuário e Calçados , Fios e Tecidos
PLAS,Consumo Cíclico , Automóveis e Motocicletas , Automóveis e Motocicletas
PLSC,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
PPAR,Outros , Outros , Outros
FRTA,Consumo não Cíclico , Agropecuária , Agricultura
PSSA,Financeiro , Previdência e Seguros , Seguradoras
PSVM,Bens Industriais , Transporte , Serviços de Apoio e Armazenagem
POSI,Tecnologia da Informação , Computadores e Equipamentos , Computadores e Equipamentos
PPLA,Financeiro , Serviços Financeiros Diversos , Gestão de Recursos e Investimentos
PTCA,Bens Industriais , Máquinas e Equipamentos , Máq. e Equip. Industriais
PRNR,Bens Industriais , Serviços , Serviços Diversos
PRMN,Utilidade Pública , Energia Elétrica , Energia Elétrica
PFRM,Saúde , Comércio e Distribuição , Medicamentos e Outros Produtos
PRPT,Outros , Outros , Outros
QUAL,Saúde , Serv.Méd.Hospit..Análises e Diagnósticos , Serv.Méd.Hospit..Análises e Diagnósticos
QUSW,Tecnologia da Informação , Programas e Serviços , Programas e Serviços
RADL,Saúde , Comércio e Distribuição , Medicamentos e Outros Produtos
RAPT,Bens Industriais , Material de Transporte , Material Rodoviário
RBRA,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
RBCS,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
RCSL,Bens Industriais , Material de Transporte , Material Rodoviário
REDE,Utilidade Pública , Energia Elétrica , Energia Elétrica
RPMG,Petróleo. Gás e Biocombustíveis , Petróleo. Gás e Biocombustíveis , Exploração. Refino e Distribuição
RNEW,Utilidade Pública , Energia Elétrica , Energia Elétrica
LLIS,Consumo Cíclico , Comércio , Tecidos. Vestuário e Calçados
GEPA,Utilidade Pública , Energia Elétrica , Energia Elétrica
RDNI,Consumo Cíclico , Construção Civil , Incorporações
RSID,Consumo Cíclico , Construção Civil , Incorporações
FRRN,Bens Industriais , Transporte , Transporte Ferroviário
RAIL,Bens Industriais , Transporte , Transporte Ferroviário
SNSY,Materiais Básicos , Materiais Diversos , Materiais Diversos
STBP,Bens Industriais , Transporte , Serviços de Apoio e Armazenagem
SCAR,Financeiro , Exploração de Imóveis , Exploração de Imóveis
SMTO,Consumo não Cíclico , Alimentos Processados , Açucar e Alcool
AHEB,Consumo Cíclico , Viagens e Lazer , Produção de Eventos e Shows
SLED,Consumo Cíclico , Comércio , Produtos Diversos
SHUL,Bens Industriais , Máquinas e Equipamentos , Motores . Compressores e Outros
SEER,Consumo Cíclico , Diversos , Serviços Educacionais
APTI,Consumo não Cíclico , Agropecuária , Agricultura
SQIA,Tecnologia da Informação , Programas e Serviços , Programas e Serviços
SLCE,Consumo não Cíclico , Agropecuária , Agricultura
SMFT,Consumo Cíclico , Viagens e Lazer , Atividades Esportivas
SMLS,Consumo Cíclico , Diversos , Programas de Fidelização
SSBR,Financeiro , Exploração de Imóveis , Exploração de Imóveis
SOND,Bens Industriais , Construção e Engenharia , Engenharia Consultiva
SPRI,Financeiro , Holdings Diversificadas , Holdings Diversificadas
SGPS,Consumo Cíclico , Tecidos. Vestuário e Calçados , Fios e Tecidos
STTR,Bens Industriais , Máquinas e Equipamentos , Máq. e Equip. Construção e Agrícolas
STKF,Utilidade Pública , Energia Elétrica , Energia Elétrica
OPSE,Outros , Outros , Outros
OPTS,Outros , Outros , Outros
SULA,Financeiro , Previdência e Seguros , Seguradoras
NEMO,Materiais Básicos , Madeira e Papel , Papel e Celulose
SUZB,Materiais Básicos , Madeira e Papel , Papel e Celulose
SHOW,Consumo Cíclico , Viagens e Lazer , Produção de Eventos e Shows
TRPN,Financeiro , Serviços Financeiros Diversos , Gestão de Recursos e Investimentos
FJTA,Bens Industriais , Máquinas e Equipamentos , Armas e Munições
TOYB,Consumo Cíclico , Viagens e Lazer , Brinquedos e Jogos
TECN,Consumo Cíclico , Tecidos. Vestuário e Calçados , Acessórios
TCSA,Consumo Cíclico , Construção Civil , Incorporações
TCNO,Bens Industriais , Construção e Engenharia , Engenharia Consultiva
TGMA,Bens Industriais , Transporte , Transporte Rodoviário
TEKA,Consumo Cíclico , Tecidos. Vestuário e Calçados , Fios e Tecidos
TKNO,Materiais Básicos , Siderurgia e Metalurgia , Artefatos de Ferro e Aço
TELB,Telecomunicações , Telecomunicações , Telecomunicações
VIVT,Telecomunicações , Telecomunicações , Telecomunicações
MNZC,Financeiro , Exploração de Imóveis , Exploração de Imóveis
TESA,Consumo não Cíclico , Agropecuária , Agricultura
TXRX,Consumo Cíclico , Tecidos. Vestuário e Calçados , Fios e Tecidos
TIMP,Telecomunicações , Telecomunicações , Telecomunicações
TOTS,Tecnologia da Informação , Programas e Serviços , Programas e Serviços
TPIS,Bens Industriais , Transporte , Exploração de Rodovias
TAEE,Utilidade Pública , Energia Elétrica , Energia Elétrica
LUXM,Bens Industriais , Transporte , Transporte Hidroviário
TRIS,Consumo Cíclico , Construção Civil , Incorporações
APCS,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
TUPY,Bens Industriais , Material de Transporte , Material Rodoviário
UGPA,Petróleo. Gás e Biocombustíveis , Petróleo. Gás e Biocombustíveis , Exploração. Refino e Distribuição
UCAS,Consumo Cíclico , Utilidades Domésticas , Móveis
UNIP,Materiais Básicos , Químicos , Químicos Diversos
UPKP,Utilidade Pública , Energia Elétrica , Energia Elétrica
USIM,Materiais Básicos , Siderurgia e Metalurgia , Siderurgia
VALE,Materiais Básicos , Mineração , Minerais Metálicos
VLID,Bens Industriais , Serviços , Serviços Diversos
VERT,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
VVAR,Consumo Cíclico , Comércio , Eletrodomésticos
VIVR,Consumo Cíclico , Construção Civil , Incorporações
VULC,Consumo Cíclico , Tecidos. Vestuário e Calçados , Calçados
WEGE,Bens Industriais , Máquinas e Equipamentos , Motores . Compressores e Outros
MWET,Bens Industriais , Material de Transporte , Material Rodoviário
WHRL,Consumo Cíclico , Utilidades Domésticas , Eletrodomésticos
WSON,Bens Industriais , Transporte , Serviços de Apoio e Armazenagem
WIZS,Financeiro , Previdência e Seguros , Corretoras de Seguros
WLMM,Bens Industriais , Comércio , Material de Transporte
QVQP,Outros , Outros , Outros
