,Setor,Subsetor,Atividade
GEPA4,Utilidade Pública , Energia Elétrica , Energia Elétrica
GEPA3,Utilidade Pública , Energia Elétrica , Energia Elétrica
RDNI3,Consumo Cíclico , Construção Civil , Incorporações
RSID3,Consumo Cíclico , Construção Civil , Incorporações
FRRN3B,Bens Industriais , Transporte , Transporte Ferroviário
FRRN6B,Bens Industriais , Transporte , Transporte Ferroviário
FRRN5B,Bens Industriais , Transporte , Transporte Ferroviário
RAIL3,Bens Industriais , Transporte , Transporte Ferroviário
SNSY3,Materiais Básicos , Materiais Diversos , Materiais Diversos
SNSY6,Materiais Básicos , Materiais Diversos , Materiais Diversos
SNSY5,Materiais Básicos , Materiais Diversos , Materiais Diversos
STBP3,Bens Industriais , Transporte , Serviços de Apoio e Armazenagem
SCAR3,Financeiro , Exploração de Imóveis , Exploração de Imóveis
SMTO3,Consumo não Cíclico , Alimentos Processados , Açucar e Alcool
AHEB6,Consumo Cíclico , Viagens e Lazer , Produção de Eventos e Shows
AHEB3,Consumo Cíclico , Viagens e Lazer , Produção de Eventos e Shows
AHEB5,Consumo Cíclico , Viagens e Lazer , Produção de Eventos e Shows
SLED4,Consumo Cíclico , Comércio , Produtos Diversos
SLED3,Consumo Cíclico , Comércio , Produtos Diversos
SHUL3,Bens Industriais , Máquinas e Equipamentos , Motores . Compressores e Outros
SHUL4,Bens Industriais , Máquinas e Equipamentos , Motores . Compressores e Outros
SEER3,Consumo Cíclico , Diversos , Serviços Educacionais
APTI3,Consumo não Cíclico , Agropecuária , Agricultura
APTI4,Consumo não Cíclico , Agropecuária , Agricultura
SQIA3,Tecnologia da Informação , Programas e Serviços , Programas e Serviços
SLCE3,Consumo não Cíclico , Agropecuária , Agricultura
SMFT12,Consumo Cíclico , Viagens e Lazer , Atividades Esportivas
SMFT13,Consumo Cíclico , Viagens e Lazer , Atividades Esportivas
SMFT6,Consumo Cíclico , Viagens e Lazer , Atividades Esportivas
SMFT11,Consumo Cíclico , Viagens e Lazer , Atividades Esportivas
SMFT3,Consumo Cíclico , Viagens e Lazer , Atividades Esportivas
SMFT15,Consumo Cíclico , Viagens e Lazer , Atividades Esportivas
SMFT14,Consumo Cíclico , Viagens e Lazer , Atividades Esportivas
SMLS3,Consumo Cíclico , Diversos , Programas de Fidelização
SSBR3,Financeiro , Exploração de Imóveis , Exploração de Imóveis
SOND6,Bens Industriais , Construção e Engenharia , Engenharia Consultiva
SOND5,Bens Industriais , Construção e Engenharia , Engenharia Consultiva
SOND3,Bens Industriais , Construção e Engenharia , Engenharia Consultiva
SPRI6,Financeiro , Holdings Diversificadas , Holdings Diversificadas
SPRI3,Financeiro , Holdings Diversificadas , Holdings Diversificadas
SPRI5,Financeiro , Holdings Diversificadas , Holdings Diversificadas
SGPS3,Consumo Cíclico , Tecidos. Vestuário e Calçados , Fios e Tecidos
STTR3,Bens Industriais , Máquinas e Equipamentos , Máq. e Equip. Construção e Agrícolas
STKF3,Utilidade Pública , Energia Elétrica , Energia Elétrica
OPSE3B,Outros , Outros , Outros
OPTS3B,Outros , Outros , Outros
SULA11,Financeiro , Previdência e Seguros , Seguradoras
SULA4,Financeiro , Previdência e Seguros , Seguradoras
SULA3,Financeiro , Previdência e Seguros , Seguradoras
NEMO6,Materiais Básicos , Madeira e Papel , Papel e Celulose
NEMO5,Materiais Básicos , Madeira e Papel , Papel e Celulose
NEMO3,Materiais Básicos , Madeira e Papel , Papel e Celulose
SUZB3,Materiais Básicos , Madeira e Papel , Papel e Celulose
SHOW3,Consumo Cíclico , Viagens e Lazer , Produção de Eventos e Shows
TRPN3,Financeiro , Serviços Financeiros Diversos , Gestão de Recursos e Investimentos
FJTA4,Bens Industriais , Máquinas e Equipamentos , Armas e Munições
FJTA17,Bens Industriais , Máquinas e Equipamentos , Armas e Munições
FJTA13,Bens Industriais , Máquinas e Equipamentos , Armas e Munições
FJTA15,Bens Industriais , Máquinas e Equipamentos , Armas e Munições
FJTA3,Bens Industriais , Máquinas e Equipamentos , Armas e Munições
TOYB13,Consumo Cíclico , Viagens e Lazer , Brinquedos e Jogos
TOYB3,Consumo Cíclico , Viagens e Lazer , Brinquedos e Jogos
TOYB4,Consumo Cíclico , Viagens e Lazer , Brinquedos e Jogos
TECN3,Consumo Cíclico , Tecidos. Vestuário e Calçados , Acessórios
TCSA3,Consumo Cíclico , Construção Civil , Incorporações
TCNO4,Bens Industriais , Construção e Engenharia , Engenharia Consultiva
TCNO3,Bens Industriais , Construção e Engenharia , Engenharia Consultiva
TGMA3,Bens Industriais , Transporte , Transporte Rodoviário
TEKA3,Consumo Cíclico , Tecidos. Vestuário e Calçados , Fios e Tecidos
TEKA4,Consumo Cíclico , Tecidos. Vestuário e Calçados , Fios e Tecidos
TKNO3,Materiais Básicos , Siderurgia e Metalurgia , Artefatos de Ferro e Aço
TKNO4,Materiais Básicos , Siderurgia e Metalurgia , Artefatos de Ferro e Aço
TELB4,Telecomunicações , Telecomunicações , Telecomunicações
TELB3,Telecomunicações , Telecomunicações , Telecomunicações
VIVT3,Telecomunicações , Telecomunicações , Telecomunicações
VIVT4,Telecomunicações , Telecomunicações , Telecomunicações
MNZC3B,Financeiro , Exploração de Imóveis , Exploração de Imóveis
TESA3,Consumo não Cíclico , Agropecuária , Agricultura
TESA12,Consumo não Cíclico , Agropecuária , Agricultura
TXRX3,Consumo Cíclico , Tecidos. Vestuário e Calçados , Fios e Tecidos
TIMP3,Telecomunicações , Telecomunicações , Telecomunicações
TOTS3,Tecnologia da Informação , Programas e Serviços , Programas e Serviços
TPIS3,Bens Industriais , Transporte , Exploração de Rodovias
TAEE3,Utilidade Pública , Energia Elétrica , Energia Elétrica
TAEE4,Utilidade Pública , Energia Elétrica , Energia Elétrica
TAEE11,Utilidade Pública , Energia Elétrica , Energia Elétrica
LUXM3,Bens Industriais , Transporte , Transporte Hidroviário
LUXM4,Bens Industriais , Transporte , Transporte Hidroviário
TRIS3,Consumo Cíclico , Construção Civil , Incorporações
APCS-CRA12B0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
TUPY3,Bens Industriais , Material de Transporte , Material Rodoviário
UGPA3,Petróleo. Gás e Biocombustíveis , Petróleo. Gás e Biocombustíveis , Exploração. Refino e Distribuição
UCAS3,Consumo Cíclico , Utilidades Domésticas , Móveis
UNIP5,Materiais Básicos , Químicos , Químicos Diversos
UNIP3,Materiais Básicos , Químicos , Químicos Diversos
UNIP6,Materiais Básicos , Químicos , Químicos Diversos
UPKP3B,Utilidade Pública , Energia Elétrica , Energia Elétrica
USIM5,Materiais Básicos , Siderurgia e Metalurgia , Siderurgia
USIM3,Materiais Básicos , Siderurgia e Metalurgia , Siderurgia
USIM6,Materiais Básicos , Siderurgia e Metalurgia , Siderurgia
VALE3,Materiais Básicos , Mineração , Minerais Metálicos
VLID3,Bens Industriais , Serviços , Serviços Diversos
VERT-CRAE1B0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
VERT-CRAA2B0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
VERT-CRA41B0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
VERT-CRA11B0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
VERT-CRA51B0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
VERT-CRAE2B0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
VERT-CRAA1B0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
VERT-CRA52B0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
VERT-CRA12B0,Financeiro , Securitizadoras de Recebíveis , Securitizadoras de Recebíveis
VVAR3,Consumo Cíclico , Comércio , Eletrodomésticos
VIVR3,Consumo Cíclico , Construção Civil , Incorporações
VULC3,Consumo Cíclico , Tecidos. Vestuário e Calçados , Calçados
WEGE3,Bens Industriais , Máquinas e Equipamentos , Motores . Compressores e Outros
MWET4,Bens Industriais , Material de Transporte , Material Rodoviário
MWET3,Bens Industriais , Material de Transporte , Material Rodoviário
WHRL3,Consumo Cíclico , Utilidades Domésticas , Eletrodomésticos
WHRL4,Consumo Cíclico , Utilidades Domésticas , Eletrodomésticos
WSON33,Bens Industriais , Transporte , Serviços de Apoio e Armazenagem
WIZS3,Financeiro , Previdência e Seguros , Corretoras de Seguros
WLMM4,Bens Industriais , Comércio , Material de Transporte
WLMM3,Bens Industriais , Comércio , Material de Transporte
QVQP3B,Outros , Outros , Outros
