index,Setor,Subsetor,Atividade
HYPE,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos
JNJB,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
LILY,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
MDTC,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
MRCK,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
NRTQ,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
ODPV,Saúde,Análises e Diagnósticos,Análises e Diagnósticos
OFSA,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
PACF,Saúde,Análises e Diagnósticos,Análises e Diagnósticos
PARD,Saúde,Análises e Diagnósticos,Análises e Diagnósticos
PFIZ,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos
PFRM,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos
PNVL,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos
QUAL,Saúde,Análises e Diagnósticos,Análises e Diagnósticos
RADL,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos
RAIA,Saúde,Comércio e Distribuição,Medicamentos e Outros Produtos
TMOS,Saúde,Análises e Diagnósticos,Análises e Diagnósticos
AAPL,Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos
ACNB,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
BRQB,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
CSCO,Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos
CTSH,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
EBAY,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
FBOK,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
GOGL,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
HPQB,Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos
IBMB,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
ITEC,Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos
ITLC,Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos
LINX,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
MSFT,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
ORCL,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
POSI,Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos
QCOM,Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos
QUSW,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
SQIA,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
SSFO,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
TEXA,Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos
TOTS,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
TWTR,Tecnologia da Informação,Programas e Serviços,Programas e Serviços
XRXB,Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos
ALGT,Telecomunicações,Telecomunicações,Telecomunicações
ATTB,Telecomunicações,Telecomunicações,Telecomunicações
OIBR,Telecomunicações,Telecomunicações,Telecomunicações
SPRN,Telecomunicações,Telecomunicações,Telecomunicações
TELB,Telecomunicações,Telecomunicações,Telecomunicações
TIMP,Telecomunicações,Telecomunicações,Telecomunicações
VERZ,Telecomunicações,Telecomunicações,Telecomunicações
VIVT,Telecomunicações,Telecomunicações,Telecomunicações
AESL,Utilidade Pública,Energia Elétrica,Energia Elétrica
AFLT,Utilidade Pública,Energia Elétrica,Energia Elétrica
ALUP,Utilidade Pública,Energia Elétrica,Energia Elétrica
CASN,Utilidade Pública,Água e Saneamento,Água e Saneamento
CBEE,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEBR,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEEB,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEED,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEGR,Utilidade Pública,Gás,Gás
CELP,Utilidade Pública,Energia Elétrica,Energia Elétrica
CEPE,Utilidade Pública,Energia Elétrica,Energia Elétrica
CESP,Utilidade Pública,Energia Elétrica,Energia Elétrica
CGAS,Utilidade Pública,Gás,Gás
CLSC,Utilidade Pública,Energia Elétrica,Energia Elétrica
CMGD,Utilidade Pública,Energia Elétrica,Energia Elétrica
CMGT,Utilidade Pública,Energia Elétrica,Energia Elétrica
CMIG,Utilidade Pública,Energia Elétrica,Energia Elétrica
COCE,Utilidade Pública,Energia Elétrica,Energia Elétrica
CPFE,Utilidade Pública,Energia Elétrica,Energia Elétrica
CPFG,Utilidade Pública,Energia Elétrica,Energia Elétrica
CPFP,Utilidade Pública,Energia Elétrica,Energia Elétrica
CPLE,Utilidade Pública,Energia Elétrica,Energia Elétrica
CPRE,Utilidade Pública,Energia Elétrica,Energia Elétrica
CPTE,Utilidade Pública,Energia Elétrica,Energia Elétrica
CSMG,Utilidade Pública,Água e Saneamento,Água e Saneamento
CSRN,Utilidade Pública,Energia Elétrica,Energia Elétrica
DUKB,Utilidade Pública,Energia Elétrica,Energia Elétrica
EBEN,Utilidade Pública,Energia Elétrica,Energia Elétrica
EEEL,Utilidade Pública,Energia Elétrica,Energia Elétrica
EGIE,Utilidade Pública,Energia Elétrica,Energia Elétrica
EKTR,Utilidade Pública,Energia Elétrica,Energia Elétrica
ELET,Utilidade Pública,Energia Elétrica,Energia Elétrica
ELPL,Utilidade Pública,Energia Elétrica,Energia Elétrica
EMAE,Utilidade Pública,Energia Elétrica,Energia Elétrica
ENBR,Utilidade Pública,Energia Elétrica,Energia Elétrica
ENER,Utilidade Pública,Energia Elétrica,Energia Elétrica
ENEV,Utilidade Pública,Energia Elétrica,Energia Elétrica
ENGI,Utilidade Pública,Energia Elétrica,Energia Elétrica
ENMA,Utilidade Pública,Energia Elétrica,Energia Elétrica
ENMT,Utilidade Pública,Energia Elétrica,Energia Elétrica
EQTL,Utilidade Pública,Energia Elétrica,Energia Elétrica
ESCE,Utilidade Pública,Energia Elétrica,Energia Elétrica
FGEN,Utilidade Pública,Energia Elétrica,Energia Elétrica
GEPA,Utilidade Pública,Energia Elétrica,Energia Elétrica
GETI,Utilidade Pública,Energia Elétrica,Energia Elétrica
GPAR,Utilidade Pública,Energia Elétrica,Energia Elétrica
IGSN,Utilidade Pública,Água e Saneamento,Água e Saneamento
ITPB,Utilidade Pública,Energia Elétrica,Energia Elétrica
LIGH,Utilidade Pública,Energia Elétrica,Energia Elétrica
LIGT,Utilidade Pública,Energia Elétrica,Energia Elétrica
LIPR,Utilidade Pública,Energia Elétrica,Energia Elétrica
MPXE,Utilidade Pública,Energia Elétrica,Energia Elétrica
NEOE,Utilidade Pública,Energia Elétrica,Energia Elétrica
OMGE,Utilidade Pública,Energia Elétrica,Energia Elétrica
PALF,Utilidade Pública,Energia Elétrica,Energia Elétrica
PRMN,Utilidade Pública,Energia Elétrica,Energia Elétrica
REDE,Utilidade Pública,Energia Elétrica,Energia Elétrica
RNEW,Utilidade Pública,Energia Elétrica,Energia Elétrica
SAPR,Utilidade Pública,Água e Saneamento,Água e Saneamento
SBSP,Utilidade Pública,Água e Saneamento,Água e Saneamento
SNST,Utilidade Pública,Água e Saneamento,Água e Saneamento
STEN,Utilidade Pública,Energia Elétrica,Energia Elétrica
STKF,Utilidade Pública,Energia Elétrica,Energia Elétrica
TAEE,Utilidade Pública,Energia Elétrica,Energia Elétrica
TBLE,Utilidade Pública,Energia Elétrica,Energia Elétrica
TEPE,Utilidade Pública,Energia Elétrica,Energia Elétrica
TIET,Utilidade Pública,Energia Elétrica,Energia Elétrica
TMPE,Utilidade Pública,Energia Elétrica,Energia Elétrica
TRPL,Utilidade Pública,Energia Elétrica,Energia Elétrica
UPKP,Utilidade Pública,Energia Elétrica,Energia Elétrica
ALLL,Bens Industriais,Transporte,Transporte Ferroviário
BPNM,Financeiro,Intermediários Financeiros,Bancos
BRTO,Telecomunicações,Telecomunicações,Telecomunicações
CTAX,Tecnologia da Informação,Serviços Financeiros Diversos,Serviços Financeiros Diversos
DAYC,Financeiro,Intermediários Financeiros,Bancos
RDCD,Financeiro,Intermediários Financeiros,Serviços Financeiros Diversos
TCSL,Telecomunicações,Telecomunicações,Telecomunicações
TLPP,Telecomunicações,Telefonia Fixa,Telefonia Fixa
TNLP,Telecomunicações,Telefonia Fixa,Telefonia Fixa
BICB,Financeiro,Bancos,Serviços Financeiros Diversos
VIVO,Telecomunicações,Telefonia Móvel,Telefonia Móvel
ABYA,Consumo Cíclico ,Construção e Engenharia , Construção Civil
AGIN,Consumo Cíclico ,Construção e Engenharia , Construção Civil
ARTR,Bens Industriais,Transporte,Exploração de Rodovias
BEMA,Tecnologia da Informação,Computadores e Equipamentos,Computadores e Equipamentos
BHGR,Financeiro,Exploração de Imóveis,Exploração de Imóveis
CNFB,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço
ECOD,Consumo não Cíclico , Agropecuária , Agricultura
INPR,Consumo Cíclico , Construção Civil , Incorporações
KSSA,Consumo Cíclico ,Construção e Engenharia , Construção Civil
MARI,Consumo Cíclico , Comércio ,"Tecidos, Vestuário e Calçados"
MRSL,Consumo Cíclico , Comércio ,"Tecidos, Vestuário e Calçados"
NETC,Consumo Cíclico ,Mídia,Televisão por Assinatura
TAMM,Bens Industriais,Transporte,Transporte Aéreo
TEMP,Saúde, Serv.Méd.Hospit..Análises e Diagnósticos , Serv.Méd.Hospit..Análises e Diagnósticos
TMAR,Telecomunicações,Telefonia Fixa,Telefonia Fixa
VAGR,Consumo não Cíclico , Agropecuária , Agricultura
AGEI,Consumo Cíclico ,Construção e Engenharia ,Construção Civil
CZLT,Consumo não Cíclico , Alimentos Processados , Açucar e Alcool
RDTR,Bens Industriais , Máquinas e Equipamentos , Máq. e Equip. Industriais
CZRS,Financeiro,Intermediários Financeiros,Bancos
MEDI,Saúde , Serv.Méd.Hospit..Análises e Diagnósticos , Serv.Méd.Hospit..Análises e Diagnósticos
